"Plot Title: Mermaid's Reef"
"#","Date Time, GMT-04:00","Temp, °C","Intensity, Lux","Coupler Attached","Host Connected","Stopped","End Of File"
1,08/01/18 03:00:00 PM,32.291,10.8,,,,
2,08/01/18 03:30:00 PM,31.778,10.8,,,,
3,08/01/18 04:00:00 PM,31.472,6200.0,,,,
4,08/01/18 04:30:00 PM,31.370,3788.9,,,,
5,08/01/18 05:00:00 PM,31.472,26178.0,,,,
6,08/01/18 05:30:00 PM,31.268,7233.4,,,,
7,08/01/18 06:00:00 PM,31.268,4994.5,,,,
8,08/01/18 06:30:00 PM,31.166,6200.0,,,,
9,08/01/18 07:00:00 PM,30.963,1722.2,,,,
10,08/01/18 07:30:00 PM,30.862,204.5,,,,
11,08/01/18 08:00:00 PM,30.862,0.0,,,,
12,08/01/18 08:30:00 PM,30.760,0.0,,,,
13,08/01/18 09:00:00 PM,30.760,0.0,,,,
14,08/01/18 09:30:00 PM,30.659,0.0,,,,
15,08/01/18 10:00:00 PM,30.659,0.0,,,,
16,08/01/18 10:30:00 PM,30.659,0.0,,,,
17,08/01/18 11:00:00 PM,30.558,0.0,,,,
18,08/01/18 11:30:00 PM,30.558,0.0,,,,
19,08/02/18 12:00:00 AM,30.558,0.0,,,,
20,08/02/18 12:30:00 AM,30.457,0.0,,,,
21,08/02/18 01:00:00 AM,30.457,0.0,,,,
22,08/02/18 01:30:00 AM,30.457,0.0,,,,
23,08/02/18 02:00:00 AM,30.457,0.0,,,,
24,08/02/18 02:30:00 AM,30.356,0.0,,,,
25,08/02/18 03:00:00 AM,30.356,0.0,,,,
26,08/02/18 03:30:00 AM,30.356,0.0,,,,
27,08/02/18 04:00:00 AM,30.255,0.0,,,,
28,08/02/18 04:30:00 AM,30.255,0.0,,,,
29,08/02/18 05:00:00 AM,30.255,0.0,,,,
30,08/02/18 05:30:00 AM,30.154,0.0,,,,
31,08/02/18 06:00:00 AM,30.154,0.0,,,,
32,08/02/18 06:30:00 AM,30.154,0.0,,,,
33,08/02/18 07:00:00 AM,30.154,204.5,,,,
34,08/02/18 07:30:00 AM,30.154,387.5,,,,
35,08/02/18 08:00:00 AM,30.255,549.0,,,,
36,08/02/18 08:30:00 AM,30.356,861.1,,,,
37,08/02/18 09:00:00 AM,30.255,839.6,,,,
38,08/02/18 09:30:00 AM,30.558,1463.9,,,,
39,08/02/18 10:00:00 AM,30.862,1722.2,,,,
40,08/02/18 10:30:00 AM,31.370,1980.6,,,,
41,08/02/18 11:00:00 AM,30.659,2238.9,,,,
42,08/02/18 11:30:00 AM,31.064,1248.6,,,,
43,08/02/18 12:00:00 PM,30.862,2927.8,,,,
44,08/02/18 12:30:00 PM,30.457,979.5,,,,
45,08/02/18 01:00:00 PM,30.760,1463.9,,,,
46,08/02/18 01:30:00 PM,30.659,699.7,,,,
47,08/02/18 02:00:00 PM,30.659,796.5,,,,
48,08/02/18 02:30:00 PM,31.064,5511.1,,,,
49,08/02/18 03:00:00 PM,31.064,6200.0,,,,
50,08/02/18 03:30:00 PM,31.166,6200.0,,,,
51,08/02/18 04:00:00 PM,31.064,3100.0,,,,
52,08/02/18 04:30:00 PM,30.963,2927.8,,,,
53,08/02/18 05:00:00 PM,31.268,2325.0,,,,
54,08/02/18 05:30:00 PM,31.166,1980.6,,,,
55,08/02/18 06:00:00 PM,30.963,2238.9,,,,
56,08/02/18 06:30:00 PM,30.862,1636.1,,,,
57,08/02/18 07:00:00 PM,30.862,871.9,,,,
58,08/02/18 07:30:00 PM,30.760,150.7,,,,
59,08/02/18 08:00:00 PM,30.760,0.0,,,,
60,08/02/18 08:30:00 PM,30.659,0.0,,,,
61,08/02/18 09:00:00 PM,30.659,0.0,,,,
62,08/02/18 09:30:00 PM,30.659,0.0,,,,
63,08/02/18 10:00:00 PM,30.558,0.0,,,,
64,08/02/18 10:30:00 PM,30.558,0.0,,,,
65,08/02/18 11:00:00 PM,30.457,0.0,,,,
66,08/02/18 11:30:00 PM,30.457,0.0,,,,
67,08/03/18 12:00:00 AM,30.356,0.0,,,,
68,08/03/18 12:30:00 AM,30.356,0.0,,,,
69,08/03/18 01:00:00 AM,30.255,0.0,,,,
70,08/03/18 01:30:00 AM,30.255,0.0,,,,
71,08/03/18 02:00:00 AM,30.255,0.0,,,,
72,08/03/18 02:30:00 AM,30.255,0.0,,,,
73,08/03/18 03:00:00 AM,30.154,0.0,,,,
74,08/03/18 03:30:00 AM,30.154,0.0,,,,
75,08/03/18 04:00:00 AM,30.154,0.0,,,,
76,08/03/18 04:30:00 AM,30.054,0.0,,,,
77,08/03/18 05:00:00 AM,30.054,0.0,,,,
78,08/03/18 05:30:00 AM,29.953,0.0,,,,
79,08/03/18 06:00:00 AM,29.853,0.0,,,,
80,08/03/18 06:30:00 AM,29.853,0.0,,,,
81,08/03/18 07:00:00 AM,29.853,258.3,,,,
82,08/03/18 07:30:00 AM,29.953,279.9,,,,
83,08/03/18 08:00:00 AM,30.054,635.1,,,,
84,08/03/18 08:30:00 AM,29.752,193.8,,,,
85,08/03/18 09:00:00 AM,30.558,495.1,,,,
86,08/03/18 09:30:00 AM,30.760,1550.0,,,,
